Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
499,5/27/2025,Kirin Vintage,YSL Hot Pink Kate Crossbody,,,Good Condition,, $ 386.60 ,, $ 750.00 , $ 696.07 , $ 309.47 ,41%,7/4/2025,  38.00 
500,5/27/2025,Kim B,Burberry Pink Leather Crossbody,,,Great Condition,, $ 144.73 ,,,, $ (144.73),0%,,  70.00 
501,5/28/2025,laceluxx,Giveaway costs 1,,,,, $ 77.64 ,,,, $ (77.64),0%,5/28/2025,  -   
502,5/28/2025,laceluxx,Add spend,,,,, $ 80.00 ,,,, $ (80.00),0%,5/28/2025,  -   
503,5/26/2025,ouiluxury,Louis Vuitton Stephen Sprouse Graffiti Key Ring & Bijoux Sac Graffiti Bag Charm,,,,, $ 223.19 ,, $ 365.00 , $ 283.73 , $ 60.54 ,17%,6/29/2025,  34.00 
504,5/26/2025,kreamhouse,MCM Cream Wallet with Pink and Purple Accents,,,Good Condition,, $ 91.57 ,,,, $ (91.57),0%,,  71.00 
505,5/27/2025,designerbrandbag,Chanel Zippy Wallet,,,Great Condition,, $ 168.52 ,, $ 250.00 , $ 221.84 , $ 53.32 ,21%,7/25/2025,  59.00 
506,5/27/2025,theluxurylabelnashville,Hermes Perwinkle Cuff Bracelet,,,Good Condition,, $ 134.83 ,,,, $ (134.83),0%,,  70.00 
507,5/27/2025,panandpiperscloset,MCM Brown Shoulder Bag with Gold Chain,,,Great Condition,, $ 179.69 ,,,, $ (179.69),0%,,  70.00 
508,5/27/2025,babybirkin,Wallet Giveaway,,,NA,, $ 59.61 ,,,, $ (59.61),0%,,  70.00 
509,5/29/2025,mmkollection,Gucci Red Soho Leather Disco Crossbody,,,Great Condition,, $ 456.52 ,,,, $ (456.52),0%,,  68.00 
510,5/29/2025,house_of_luxury,Louis Vuitton Monogram Gold Key Chain,,,Excellent Condition,, $ 94.29 ,, $ 149.25 , $ 132.05 , $ 37.76 ,25%,7/17/2025,  49.00 
511,5/29/2025,house_of_luxury,Giveaway Ferragamo Black Zippy Wallet,,,Giveaway,, $ 59.50 ,,,, $ (59.50),0%,,  68.00 
512,5/24/2025,Goldenboutique,Black Ferragamo Hobo,,,Winning Black Bag,, $ 0.01 ,, $ 350.00 , $ 310.42 , $ 310.41 ,89%,6/5/2025,  12.00 
512,5/29/2025,japanluxlifestyle,Celine Madame Shoulder Bag,,,Great Condition,, $ 292.08 ,, $ 390.00 , $ 356.16 , $ 64.08 ,16%,6/5/2025,  7.00 
513,5/31/2025,laceluxx,Promotion Spend - 5/31/25 Show,,,NA,,$89.98 ,, $ -   , $ -   , $ (89.98),0%,5/30/2025,  (1.00)
514,5/31/2025,laceluxx,Giveaway Spend - Shipping 5/30/25 Show,,,NA,,$79.04 ,, $ -   , $ -   , $ (79.04),0%,5/30/2025,  (1.00)
515,5/31/2025,laceluxx,Road to 1K - 5/30/25 Show,,,NA,, $ 0.01 ,, $ -   , $ 12.39 , $ 12.38 ,0%,5/30/2025,  (1.00)
516,5/31/2025,laceluxx,Giveaway Spend - Product 5/30/25 Show,,,NA,, $ 35.50 ,, $ -   , $ -   , $ (35.50),0%,5/30/2025,  (1.00)
517,6/1/2025,laceluxx,Road to 1K -6/1/25 Show,,,NA,, $ 0.01 ,, $ 4.60 , $ 4.60 , $ 4.59 ,100%,6/1/2025,  -   
518,6/1/2025,laceluxx,Auction bag charms,,,NA,, $ 17.50 ,, $ 84.00 , $ 72.80 , $ 55.30 ,66%,6/1/2025,  -   
519,6/1/2025,laceluxx,Giveaway Spend - 6/1/25,,,NA,, $ 105.80 ,, $ -   , $ -   , $ (105.80),0%,6/1/2025,  -   
530,6/1/2025,laceluxx,Promotion Spend - 6/1/25,,,NA,, $ 138.00 ,, $ -   , $ -   , $ (138.00),0%,6/1/2025,  -   
531,6/3/2025,causeimb,Louis Vuitton Mahina Monogram Black Leather Hobo Bag,,,Good Condition,, $ 424.38 ,, $ 724.00 , $ 643.00 , $ 218.62 ,30%,6/25/2025,  22.00 
532,6/3/2025,the-luxury-closet,Prada Tessuto Stencil Hobo Nylon Light Blue Bag,,,Great Condition,, $ 204.72 ,, $ 334.00 , $ 296.38 , $ 91.66 ,27%,6/27/2025,  24.00 
533,6/1/2025,StyledbyBrittany,Michael Kors Tassel Hobo - Light Brown,,,Good Condition,, $ 50.32 ,, $ 52.00 , $ 45.86 , $ (4.46),-9%,7/17/2025,  46.00 
534,6/2/2025,house_of_luxury,Louis Vuitton Monogram Compigne 28,,,Good Condition,, $ 163.35 ,,,, $ (163.35),0%,,  64.00 
535,6/2/2025,house_of_luxury,YSLBlack Bifold wallet with box,,,Good Condition,, $ 114.35 ,,,, $ (114.35),0%,,  64.00 
536,6/3/2025,goldenboutique,Gucci Slouchy Hobo Bag with Charm,,,Great Condition,, $ 293.07 ,, $ 499.00 , $ 442.83 , $ 149.76 ,30%,6/20/2025,  17.00 
537,6/3/2025,goldenboutique,Black Coach Shoulder Bag,,,Great Condition,, $ 60.00 ,, $ 48.00 , $ 43.95 , $ (16.05),-33%,7/5/2025,  32.00 
538,6/3/2025,goldenboutique,Givenchy Shoulder Bag with Gold Detail,,,Good Condition,, $ 190.58 ,,,, $ (190.58),0%,,  63.00 
539,6/3/2025,Buyee,Louis Vuitton Monogram Reporter PM,,,Good Condition,, $ 165.30 ,, $ 250.00 , $ 221.52 , $ 56.22 ,22%,7/18/2025,  45.00 
540,5/30/2025,Buyee,Chloe Paddington in Brown,,,Great Condition,, $ 202.39 ,, $ 600.00 , $ 480.00 , $ 277.61 ,46%,7/13/2025,  44.00 
541,5/30/2025,Buyee,Gucci GG Canvas Accessory Mini Handbag,,,Excellent Condition,, $ 140.23 ,, $ 280.00 , $ 248.20 , $ 107.97 ,39%,6/22/2025,  23.00 
542,5/30/2025,Buyee,Gucci GG Supreme Sherry Line Tote Bag,,,Great Condition,, $ 195.64 ,, $ 229.00 , $ 202.89 , $ 7.25 ,3%,6/25/2025,  44.00 
543,6/2/2025,Buyee,Louis Vuitton Monogram Denim Neo Cabii MM 2Way Handbag (TH4009),,,Great Condition,, $ 483.52 ,, $ 999.00 , $ 887.35 , $ 403.83 ,40%,6/25/2025,  23.00 
544,6/2/2025,Buyee,Gucci GG Sherry Line Tote Bag,,,Good Condition,, $ 42.08 ,, $ 133.00 , $ 117.64 , $ 75.56 ,57%,7/20/2025,  23.00 
545,5/30/2025,goldenboutique,Black Tory Burch Crossbody with Tassel,,,Great Condition,, $ 112.40 ,, $ 159.00 , $ 140.76 , $ 28.36 ,18%,7/18/2025,  49.00 
546,5/30/2025,goldenboutique,Camel Tory Burch Crossbody Fold-over with Zipper Tassel,,,Good Condition,, $ 117.61 ,,,, $ (117.61),0%,,  67.00 
547,5/29/2025,panandpiperscloset,Juicy Coutour Barrel Bag,,,NWT,, $ 11.12 ,, $ 35.00 , $ 32.06 , $ 20.94 ,60%,7/4/2025,  36.00 
548,6/3/2025,goldenboutique,Grey MCM Micro Wallet,,,Great Condition,, $ 117.61 ,, $ 154.00 , $ 136.46 , $ 18.85 ,12%,7/21/2025,  48.00 
549,6/3/2025,goldenboutique,Black Tory Burch Crossbody with Tassel and braided strap,,,Excellent Condition,, $ 116.52 ,, $ 175.00 , $ 155.27 , $ 38.75 ,22%,6/12/2025,  9.00 
550,6/3/2025,japanluxlifestyle,Green Vernis Pouchette,,,Good Condition,, $ 147.65 ,, $ 235.00 , $ 208.51 , $ 60.86 ,26%,7/26/2025,  53.00 
551,6/3/2025,reclaimedluxe,Givvy,,,NA,, $ 38.49 ,, $ -   , $ -   , $ (38.49),0%,,  63.00 
552,6/3/2025,house_of_luxury,Burberry White Blanket,,,NWT,, $ 102.37 ,,,, $ (102.37),0%,,  63.00 
553,6/3/2025,house_of_luxury,Promotion Givvy,,,NA,, $ 44.88 ,, $ -   , $ -   , $ (44.88),0%,,  63.00 
554,6/3/2025,goldenboutique,Purple MCM Wallet,,,Excellent Condition,, $ 137.21 ,,,, $ (137.21),0%,,  63.00 
555,6/3/2025,goldenboutique,Black Snakeskin Metro City with Gold Hardware and Braided Strap,,,Excellent Condition,, $ 140.00 ,,,, $ (140.00),0%,,  63.00 
556,6/4/2025,theluxurylabelnashville,Hermes Gold H Bracelet,,,Excellent Condition,, $ 173.59 ,,,, $ (173.59),0%,,  62.00 
557,6/4/2025,laceluxx,cost of giveaways - 6/4/25,,,NA,, $ 96.00 ,, $ -   , $ -   , $ (96.00),0%,6/4/2025,  -   
558,6/4/2025,laceluxx,Cost of Promo - 6/4/25,,,NA,, $ 80.00 ,, $ -   , $ -   , $ (80.00),0%,6/4/2025,  -   
559,6/5/2025,laceluxx,Coach Agenda,,,NA,, $ 35.00 ,, $ 50.00 , $ 43.81 , $ 8.81 ,18%,6/5/2025,  -   
560,6/5/2025,laceluxx,Giveaway Spend - 6/5 Show P2,,,NA,, $ 56.00 ,, $ -   , $ -   , $ (56.00),0%,6/5/2025,  -   
561,6/5/2025,laceluxx,Promotion Spend 6/5 Show P2,,,NA,, $ 86.00 ,, $ -   , $ -   , $ (86.00),0%,6/5/2025,  -   
562,6/6/2025,laceluxx,Road to 1K,,,NA,, $ 0.01 ,, $ 38.00 , $ 21.46 , $ 21.45 ,56%,6/6/2025,  -   
563,6/6/2025,laceluxx,Shipping for Givvys,,,NA,, $ 75.97 ,, $ -   , $ -   , $ (75.97),0%,6/6/2025,  -   
564,6/6/2025,laceluxx,Add spend,,,NA,, $ 90.00 ,, $ -   , $ -   , $ (90.00),0%,6/6/2025,  -   
565,6/6/2025,laceluxx,Run of a Bag Charm,,,NA,, $ 3.00 ,, $ 15.00 , $ 13.04 , $ 10.04 ,67%,6/6/2025,  -   
566,6/6/2025,laceluxx,Longchamp,,,NA,, $ 26.00 ,, $ 56.00 , $ 49.24 , $ 23.24 ,42%,6/6/2025,  -   
567,6/8/2025,laceluxx,Road to 1K,,,NA,, $ 0.01 ,, $ 4.60 , $ 4.60 , $ 4.59 ,100%,6/8/2025,  -   
568,6/8/2025,laceluxx,Bag charm auction,,,NA,, $ 24.50 ,, $ 70.00 , $ 59.40 , $ 34.90 ,50%,6/8/2025,  -   
569,6/8/2025,laceluxx,Coach Agenda,,,NA,, $ 29.00 ,, $ 26.00 , $ 22.82 , $ (6.18),-24%,6/8/2025,  -   
570,6/8/2025,laceluxx,Giveaway Spend - 6/8/25,,,NA,, $ 92.17 ,, $ -   , $ -   , $ (92.17),0%,6/8/2025,  -   
571,6/8/2025,laceluxx,Promotion 6/8 Show,,,NA,, $ 60.00 ,, $ -   , $ -   , $ (60.00),0%,6/8/2025,  -   
572,6/5/2024,AshleyJordan,Promotion,,,NA,, $ 81.68 ,, $ -   , $ -   , $ (81.68),0%,6/5/2025,  365.00 
573,6/5/2025,AshleyJordan,Louis Vuitton Damier Azur Key Cles,,,Great Condition,, $ 75.14 ,, $ 115.00 , $ 101.78 , $ 26.64 ,23%,7/23/2025,  48.00 
574,6/9/2025,Julia,White and Grey Fendi Spy Bag,,,Great Condition,, $ 315.76 ,, $ 500.00 , $ 443.52 , $ 127.76 ,26%,6/29/2025,  20.00 
575,6/9/2025,Buyee,Louis Vuitton Damier Azur Neverfull MM,,,Good Condition,, $ 292.51 ,,,, $ (292.51),0%,,  57.00 
576,6/8/2025,panandpiperscloset,Gucci Bum Bag,,,Great Condition,, $ 215.85 ,,,, $ (215.85),0%,,  58.00 
577,6/9/2025,goldenboutique,Black Tory Burch Foldover Bag with Silver Hardware and Braided Edging,,,Excellent Condition,, $ 102.60 ,, $ 170.00 , $ 150.51 , $ 47.91 ,28%,7/27/2025,  48.00 
578,6/9/2025,goldenboutique,Limited Edition Purple MCM Shoulderbag with Silver Hardware,,,Excellent Condition,, $ 184.27 ,,,, $ (184.27),0%,,  57.00 
579,6/9/2025,goldenboutique,Coach Brown Logo Tote,,,Great Condition,, $ 63.39 ,, $ 44.00 , $ 40.56 , $ (22.83),-52%,7/5/2025,  26.00 
580,6/9/2025,goldenboutique,Coach Brown and Rainbow Logo Tote,,,Great Condition,, $ 48.15 ,, $ 51.00 , $ 47.14 , $ (1.01),-2%,7/5/2025,  26.00 
581,6/9/2025,goldenboutique,Black MCM Tote Bag with Gold Hardware,,,Great Condition,, $ 108.04 ,,,, $ (108.04),0%,,  57.00 
582,6/9/2025,goldenboutique,Black MCM Crossbody with Gold Hardware,,,Excellent Condition,, $ 140.71 ,,,, $ (140.71),0%,,  57.00 
583,6/9/2025,goldenboutique,Black MCM Vernis Visetos Shoulderbag,,,Excellent Condition,, $ 162.49 ,,,, $ (162.49),0%,,  57.00 
584,6/10/2025,Rachelbar,Black MCM Visetos Bucket Bag with Silver Hardware and MCM Charm,,,Great Condition,, $ 150.51 ,,,, $ (150.51),0%,,  56.00 
585,6/10/2025,Rachelbar,Black MCM Mini Bucket Bag with Silver Hardware,,,Great Condition,, $ 127.41 ,,,, $ (127.41),0%,,  56.00 
586,6/10/2025,Rachelbar,Mini Limited Edition MCM Backpack with Detachable Front Pocket in Yellow,,,Good Condition,, $ 96.06 ,,,, $ (96.06),0%,,  56.00 
587,6/10/2025,Rachelbar,Black Quilted MCM Backpack,,,Great Condition,, $ 106.72 ,,,, $ (106.72),0%,,  56.00 
588,6/10/2025,Rachelbar,Prada Leather Tote Bag in Blue,,,Great Condition,, $ 314.95 ,, $ 500.00 , $ 444.05 , $ 129.10 ,26%,7/18/2025,  38.00 
589,6/10/2025,laceluxx,Giveaway Shipping,,,NA,, $ 18.33 ,, $ -   , $ -   , $ (18.33),0%,6/10/2025,  -   
590,6/10/2025,laceluxx,Promotion,,,NA,, $ 70.00 ,, $ -   , $ -   , $ (70.00),0%,6/10/2025,  -   
591,6/10/2025,laceluxx,Road to 1K sales,,,NA,, $ 0.01 ,, $ 25.00 , $ 14.76 , $ 14.75 ,59%,6/10/2025,  -   
592,6/10/2025,Rachelbar,Tory Burch Geometric Colorful Second Bag,,,Good Condition,, $ 0.01 ,, $ 81.00 , $ 71.46 , $ 71.45 ,88%,6/12/2025,  2.00 
593,6/8/2025,StyledbyBrittany,Michael Kors Blush Pink Hobo,,,Good Condition,, $ 47.05 ,, $ 99.00 , $ 87.67 , $ 40.62 ,41%,7/18/2025,  40.00 
594,6/6/2025,BrooklynDeals,Black Coach Bum Bag,,,Great Condition,, $ 114.00 ,,,, $ (114.00),0%,,  60.00 
595,6/12/2025,laceluxx,Giveaway Spend,,,NA,, $ 25.40 ,, $ -   , $ -   , $ (25.40),0%,6/12/2025,  -   
596,6/12/2025,laceluxx,Badgley Mischka Crossbody,,,NA,, $ 27.00 ,, $ 17.00 , $ 17.00 , $ (10.00),-59%,6/12/2025,  -   
597,6/14/2025,laceluxx,Giveaway Spend,,,NA,, $ 28.33 ,, $ -   , $ -   , $ (28.33),0%,6/14/2025,  -   
598,6/14/2025,laceluxx,Promo Spend,,,NA,, $ 150.00 ,, $ -   , $ -   , $ (150.00),0%,6/14/2025,  -   
599,6/14/2025,laceluxx,Bag Auction,,,NA,, $ 30.00 ,, $ 47.00 , $ 41.23 , $ 11.23 ,24%,6/14/2025,  -   
600,6/14/2025,laceluxx,Bag Auction,,,NA,, $ 30.00 ,,,, $ (30.00),0%,,  52.00 
602,6/13/2025,goldenboutique,Purple MCM Bag,,,Great Condition,, $ 183.00 ,,,, $ (183.00),0%,,  53.00 
603,6/13/2025,goldenboutique,Black Tory Burch Crossbody,,,Excellent Condition,, $ 102.60 ,,,, $ (102.60),0%,,  53.00 
604,6/13/2025,goldenboutique,Orange MCM Crossbody,,,Fair Condition,, $ 90.00 ,, $ 47.00 , $ 41.33 , $ (48.67),-104%,7/27/2025,  44.00 
605,6/14/2025,crisfashionstyle,Black MCM Tote Bag with Silver Lion,,,Great condition,, $ 131.12 ,, $ 205.00 , $ 181.73 , $ 50.61 ,25%,7/3/2025,  19.00 
606,6/20/2025,laceluxx,Promo Spend,,,NA,, $ 72.00 ,, $ -   , $ -   , $ (72.00),0%,6/20/2025,  -   
607,6/20/2025,laceluxx,Auction bag charms,,,NA,, $ 36.00 ,, $ 82.00 , $ 68.39 , $ 32.39 ,40%,6/20/2025,  -   
608,6/20/2025,laceluxx,Giveaway Spend,,,NA,, $ 35.08 ,, $ -   , $ -   , $ (35.08),0%,6/20/2025,  -   
609,6/20/2025,laceluxx,COA for Gucci Hobo,,,NA,, $ 10.00 ,, $ 25.00 , $ 21.91 , $ 11.91 ,48%,6/20/2025,  -   
610,6/10/2025,ekproductions_808,Louis Vuitton Monogram Montsouris MM ,,,Great Condition,, $ 560.00 ,,,, $ (560.00),0%,,  56.00 
611,6/22/2025,laceluxx,Bag charm auction,,,NA,, $ 52.00 ,, $ 98.00 , $ 84.42 , $ 32.42 ,33%,6/22/2025,  -   
612,6/22/2025,laceluxx,Giveaway Spend,,,NA,, $ 26.80 ,, $ -   , $ -   , $ (26.80),0%,6/22/2025,  -   
613,6/22/2025,laceluxx,Tips,,,NA,, $ 0.01 ,, $ 15.00 , $ 15.00 , $ 14.99 ,100%,6/22/2025,  -   
614,6/18/2025,Ronnie1397,Coach Poppy Wallet,,,Good Condition,, $ 33.48 ,, $ 25.00 , $ 21.68 , $ (11.80),-47%,6/25/2025,  7.00 
615,6/18/2025,Ronnie1397,Coach Poppy Card Holder,,,Good Condition,, $ 0.01 ,, $ 35.00 , $ 32.06 , $ 32.05 ,92%,7/5/2025,  17.00 
616,6/18/2025,Ronnie1397,Coach Black Logo Wallet,,,Good Condition,, $ 25.54 ,, $ 43.00 , $ 39.18 , $ 13.64 ,32%,7/5/2025,  17.00 
618,6/18/2025,bill_rose29,Louis Vuitton Bordeaux Crossbody,,,Very Good Condition,, $ 391.18 ,, $ 594.00 , $ 475.20 , $ 84.02 ,14%,6/26/2025,  8.00 
619,6/18/2025,house_of_luxury,Louis Vuitton Mini Wallet,,,NA,, $ 65.57 ,, $ 58.00 , $ 51.13 , $ (14.44),-25%,6/27/2025,  9.00 
620,6/23/2025,goldenboutique,Orange MCM Shoulder Bag with Gold Hardware,,,Good Condition,, $ 98.24 ,,,, $ (98.24),0%,,  43.00 
621,6/23/2025,goldenboutique,Louis Vuitton Cigarette Case,,,Good Condition,, $ 46.83 ,, $ 41.00 , $ 35.97 , $ (10.86),-26%,6/27/2025,  4.00 
622,6/23/2025,goldenboutique,Louis Vuitton Green Agenda MM,,,Good Condition,, $ 54.45 ,, $ 150.00 , $ 132.84 , $ 78.39 ,52%,7/21/2025,  28.00 
623,6/23/2025,goldenboutique,Tory Burch Blue Flowers Crossbody with Gold Hardware,,,Good Condition,, $ 122.20 ,, $ 175.00 , $ 155.36 , $ 33.16 ,19%,7/26/2025,  33.00 
624,6/23/2025,goldenboutique,Tory Burch Camel Crossbody with Tan Strap,,,Good Condition,, $ 117.84 ,,,, $ (117.84),0%,,  43.00 
625,6/23/2025,goldenboutique,Louis Vuitton Yellow Epi Coin Pouch,,,Fair Condition,, $ 20.00 ,, $ 95.00 , $ 79.72 , $ 59.72 ,63%,6/25/2025,  2.00 
626,6/25/2025,EG Auctions,Louis Vuitton Blue Epi Agenda,,,Good Condition,, $ 45.00 ,, $ 191.00 , $ 152.80 , $ 107.80 ,56%,7/11/2025,  16.00 
627,6/25/2025,EG Auctions,Louis Vuitton Monogram Poche Toilette 25 ,,,Good Condition,, $ 50.00 ,, $ 149.00 , $ 132.19 , $ 82.19 ,55%,6/27/2025,  2.00 
628,6/25/2025,EG Auctions,Chloe Keri Leather Bordeaux Tote Bag,,,Good Condition,, $ 80.00 ,, $ 199.00 , $ 176.40 , $ 96.40 ,48%,6/25/2025,  -   
629,6/25/2025,laceluxx,Bag charm auction,,,NA,, $ 12.00 ,, $ 41.00 , $ 35.03 , $ 23.03 ,56%,6/25/2025,  -   
630,6/25/2025,laceluxx,Badgley Mischka Crossbody,,,NA,, $ 27.00 ,, $ 8.00 , $ 6.67 , $ (20.33),-254%,6/25/2025,  -   
631,6/25/2025,laceluxx,Promotion,,,NA,, $ 120.00 ,, $ -   , $ -   , $ (120.00),0%,6/25/2025,  -   
632,6/25/2025,helicopterhelicopter,Blue YSL Micro Wallet ,,,Good Condition,, $ 91.99 ,, $ 149.00 , $ 132.14 , $ 40.15 ,27%,7/20/2025,  25.00 
633,6/27/2025,laceluxx,Bag charm auction,,,NA,, $ 16.00 ,, $ 58.00 , $ 50.16 , $ 34.16 ,59%,6/27/2025,  -   
634,6/27/2025,laceluxx,Promotion Cost,,,NA,, $ 162.64 ,, $ -   , $ -   , $ (162.64),0%,6/27/2025,  -   
635,6/26/2025,Janette,Christian Louboutin Dark Denim Sweet Cherity Bag,,,Great Condition,, $ 337.54 ,,,, $ (337.54),0%,,  40.00 
637,6/26/2025,love20010,Louis Vuitton Monogram Galleria PM,,,Good Condition ,, $ 533.61 ,,,, $ (533.61),0%,,  40.00 
638,6/25/2025,EG Auctions,Gucci Logo PVC Cosmetic Pouch/Clutch,,,Good Condition,, $ 50.00 ,, $ 123.75 , $ 109.54 , $ 59.54 ,48%,7/13/2025,  18.00 
639,6/25/2025,EG Auctions,Louis Vuitton Epi Bijoux Sac Fluer de Key Ring Bag Charm,,,Great Condition,, $ 85.00 ,, $ 299.00 , $ 265.38 , $ 180.38 ,60%,7/21/2025,  26.00 
640,6/25/2025,EG Auctions,Chanel Camellia CC Logo Gold Tone Earrings ,,,Great Condition,, $ 150.00 ,,,, $ (150.00),0%,,  41.00 
641,6/25/2025,Buyee,Louis Vuitton Looping GM,,,Great Condition,, $ 292.49 ,,,, $ (292.49),0%,,  41.00 
642,6/25/2025,Buyee,Louis Vuitton Damier Graphite Key Case (6),,,Great Condition,, $ 73.51 ,,,, $ (73.51),0%,,  41.00 
643,6/25/2025,Buyee,Chanel Satin Chain Shoulder Bag in Coral,,,Good Condition,, $ 340.30 ,,,, $ (340.30),0%,,  41.00 
644,6/25/2025,laceluxx,Tips,,,NA,, $ 0.01 ,, $ 25.00 , $ 25.00 , $ 24.99 ,100%,6/27/2025,  2.00 
645,6/29/2025,laceluxx,Bag Charm Auction,,,NA,, $ 12.00 ,, $ 30.00 , $ 25.34 , $ 13.34 ,44%,6/29/2025,  -   
646,6/29/2025,laceluxx,Giveaway Cost,,,NA,, $ 25.95 ,, $ -   , $ -   , $ (25.95),0%,6/29/2025,  -   
647,6/29/2025,laceluxx,Promo Cost,,,NA,, $ 74.70 ,, $ -   , $ -   , $ (74.70),0%,6/29/2025,  -   
648,6/26/2025,Bagsbyjoey,Black Dior Monogram Bag with Stitch and Braiding Detail,,,Great Condition,, $ 292.08 ,, $ 525.00 , $ 465.96 , $ 173.88 ,33%,7/3/2025,  7.00 
649,6/26/2025,Bagsbyjoey,Gucci GG Canvas Abbey D Ring Shoulder Bag,,,Good Condition,, $ 188.08 ,, $ 299.00 , $ 265.27 , $ 77.19 ,26%,7/14/2025,  18.00 
650,6/29/2025,Cyrill,Black Gucci GG Canvas Abey Shoulder Bag,,,Very Good Condition,, $ 201.41 ,, $ 320.00 , $ 283.83 , $ 82.42 ,26%,7/13/2025,  14.00 
651,6/29/2025,MarineVintage,Louis Vuitton Black Murakami Judy GM wo strap,,,Good Condition,, $ 823.28 ,,,, $ (823.28),0%,,  37.00 
652,6/29/2025,Mas,Fendi Logo Crossbody Vintage,,,Good Condition,, $ 161.17 ,, $ 245.00 , $ 217.30 , $ 56.13 ,23%,7/27/2025,  28.00 
654,6/28/2025,Ebay,Louis Vuitton Galleria PM Shoulder Bag,,,Good Condition,, $ 525.99 ,,,, $ (525.99),0%,,  38.00 
657,7/1/2025,Camille - Vestiare,Gucci Abbey in Black,,,Good Condition,, $ 201.55 ,,,, $ (201.55),0%,,  35.00 
658,7/1/2025,eszgrail,Celine Fluo Pink Drummed Leather Mini Luggage Tote Bag,,,Excellent Condition,, $ 663.43 ,,,, $ (663.43),0%,,  35.00 
659,7/1/2025,house_of_luxury,Wallet Giveaway,,,NA,, $ 117.84 ,,,, $ (117.84),0%,,  35.00 
660,7/1/2025,japanluxlifestyle,Balenciaga Grey Wallet with Box ,,,Great Condition,, $ 77.95 ,,,, $ (77.95),0%,,  35.00 
661,6/28/2025,raquel88,Black Ferragamo Square Bag,,,Great Condition,, $ 82.99 ,,,, $ (82.99),0%,,  38.00 
662,6/28/2025,raquel88,See by Chloe Maroon Crossbody,,,Good Condition,, $ 38.12 ,, $ 56.00 , $ 49.00 , $ 10.88 ,19%,7/3/2025,  5.00 
663,6/27/2025,goldenboutique,Green MCM Handbag with Contrast Stitching,,,Great Condition,, $ 96.12 ,,,, $ (96.12),0%,,  39.00 
664,6/27/2025,goldenboutique,Black MCM Hobo Bag with Long Strap and pull closure,,,Good Condition,, $ 82.99 ,,,, $ (82.99),0%,,  39.00 
665,6/29/1930,ellendavis214,Louis Vuitton Neverfull ,,,Good Condition,, $ 400.00 ,,,, $ (400.00),0%,,"  34,736.00 "
666,6/29/2025,skygirl48579,Louis Vuitton Artsy MM Monogram Canvas Handbag,,,Good Condition,, $ 575.00 ,,,, $ (575.00),0%,,  37.00 
667,7/2/2025,Ebay,Denim Gucci Soho Tote Bag,,,Great Condition,, $ 895.16 ,,,, $ (895.16),0%,,  34.00 
668,7/3/2025,laceluxx,Bag charm auction,,,NA,, $ 75.00 ,, $ 144.00 , $ 125.55 , $ 50.55 ,35%,7/3/2025,  -   
669,7/3/2025,laceluxx,Giveaway Shipping,,,NA,, $ 22.37 ,, $ -   , $ -   , $ (22.37),0%,7/3/2025,  -   
670,7/3/2025,laceluxx,Show Promotion,,,NA,, $ 78.61 ,, $ -   , $ -   , $ (78.61),0%,7/3/2025,  -   
671,5/29/2025,mmkollection,Burberry Black Check Bifold Wallet,,,Great Condition,, $ 159.45 ,, $ 160.00 , $ 148.16 , $ (11.29),-7%,7/4/2025,  36.00 
672,7/4/2025,laceluxx,Louis Vuitton International Wallet,,,Gifted,, $ 0.01 ,, $ 84.00 , $ 77.22 , $ 77.21 ,92%,7/4/2025,  -   
673,7/4/2025,laceluxx,Coach Lemon Wristlet,,,,, $ 35.00 ,, $ 27.00 , $ 24.72 , $ (10.28),-38%,7/4/2025,  -   
674,7/4/2025,laceluxx,Kate Spade Hot Pink Bag,,,Mine,, $ 0.01 ,, $ 27.00 , $ 24.78 , $ 24.77 ,92%,7/4/2025,  -   
675,7/4/2025,laceluxx,Valentino Orlandi Black Bag,,,abrih98,, $ 30.00 ,, $ 76.00 , $ 70.27 , $ 40.27 ,53%,7/4/2025,  -   
676,7/4/2025,laceluxx,White Valentino Orlandi,,,havekiss,, $ 30.00 ,, $ 19.00 , $ 17.09 , $ (12.91),-68%,7/4/2025,  -   
677,7/4/2025,laceluxx,Tan Valentino Orlandi,,,Nicole,, $ 27.00 ,, $ 17.00 , $ 15.19 , $ (11.81),-69%,7/4/2025,  -   
678,7/4/2025,laceluxx,Burberry Bifold Blue,,,Nicole,, $ 25.00 ,, $ 27.00 , $ 24.77 , $ (0.23),-1%,7/4/2025,  -   
679,7/4/2025,laceluxx,Bag charm auction,,,NA,, $ 56.00 ,, $ 137.00 , $ 124.49 , $ 68.49 ,50%,7/4/2025,  -   
680,7/4/2025,laceluxx,Giveaway Spend,,,NA,, $ 69.66 ,, $ -   , $ -   , $ (69.66),0%,7/4/2025,  -   
681,7/4/2025,laceluxx,Promotion,,,NA,, $ 63.59 ,, $ -   , $ -   , $ (63.59),0%,7/4/2025,  -   
682,7/5/2025,laceluxx,Ferragamo Wallet,,,NA,, $ 0.01 ,, $ 39.00 , $ 35.73 , $ 35.72 ,92%,7/5/2025,  -   
683,7/5/2025,laceluxx,Cherries,,,NA,, $ 8.00 ,, $ 13.00 , $ 11.55 , $ 3.55 ,27%,7/5/2025,  -   
