Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
234,4/15/2025,house_of_luxury,Givenchy Gold Necklace - Givvy for Chat,,,NA,, $ 30.88 , $ -   , $ -   , $ -   , $ -   ,0%,,  112.00 
235,4/15/2025,house_of_luxury,Celine Red Scarf,,,Great Condition,, $ 0.01 ,, $ 27.00 , $ 23.50 , $ 3.50 ,13%,7/21/2025,  97.00 
236,3/25/2025,champagnecloset,MCM Cognac Mini Backpack,,,Great Condition,, $ 145.00 , $ 249.00 , $ 199.00 , $ 176.74 , $ 22.26 ,11%,4/19/2025,  25.00 
237,4/16/2025,house_of_luxury,Louis Vuitton Damier Ebene Compact International Wallet,,,Good Condition,, $ 120.88 ,,,, $ -   ,0%,,  111.00 
238,4/16/2025,house_of_luxury,Fendi Beige Selleria Long Wallet,,,Very Good Condition,, $ 105.37 ,,,, $ -   ,0%,,  111.00 
239,4/16/2025,house_of_luxury,Givenchy Gold G Rhinestone Necklace,,,Very Good Condition,, $ 73.33 ,, $ 145.00 , $ 43.50 , $ 101.50 ,70%,5/1/2025,  15.00 
240,4/17/2025,houstonselects,Murakami White Key Cles,,,Very Good Condition,, $ 96.06 , $ 150.00 , $ 131.75 , $ 116.66 , $ 15.09 ,11%,5/9/2025,  22.00 
241,4/17/2025,house_of_luxury,Ferragamo Yellow Silk Scarf,,,Very Good Condition,, $ 70.39 ,, $ 130.00 , $ 115.23 , $ 14.77 ,11%,5/25/2025,  38.00 
242,4/17/2025,japanluxlifestyle,Bundle of LV Wallets,,,Good Condition,, $ 81.45 ,,,, $ -   ,0%,,  110.00 
243,4/17/2025,japanluxlifestyle,LV Vintage Crossbody Raspail,,,Very Good Condition,, $ 331.50 ,, $ 466.65 , $ 414.34 , $ 52.31 ,11%,,  110.00 
